question_id,category,question_text,answer_a_text,answer_a_family,answer_b_text,answer_b_family,answer_c_text,answer_c_family,answer_d_text,answer_d_family,answer_e_text,answer_e_family
Q01,secular,"Your home environment most naturally tends toward:","Open and minimal — lots of empty space",B,"Organized and precise — everything has a logical place",V,"Warm and abundant — comfortable furniture, art, rich textures",R,"Beautiful and curated — aesthetically stimulating and colorful",P,"Functional and efficient — set up to help you get things done",K
Q02,secular,"When your living space gets messy, you:","Don't really notice until it becomes extreme",B,"Feel genuine irritation — disorder disrupts your thinking",V,"Feel unsettled and compensate by adding more comfort items",R,"Lose creative energy — beauty matters to your wellbeing",P,"Clean it immediately because clutter slows you down",K
Q03,secular,"Your ideal weekend environment is:","Quiet and unhurried with no agenda",B,"Structured — a clear plan with time for reading or study",V,"Gathering with family or close friends over good food",R,"Something aesthetically rich — music, art, nature, or romance",P,"Productive — projects, goals, and checking things off",K
Q04,secular,"At work, your colleagues would most likely describe you as:","Easy to be around, calm, and not easily rattled",B,"Sharp, principled, and holding high standards",V,"Generous, resourceful, and supportive",R,"Engaging, intuitive, and great with people",P,"Efficient, driven, and someone who gets things done",K
Q05,secular,"When facing a complex problem, your first instinct is to:","Sit with it and let the answer emerge naturally",B,"Analyze it systematically until you fully understand it",V,"Draw on accumulated knowledge and resources",R,"Sense the emotional or relational dimensions of the problem",P,"Break it into tasks and start moving immediately",K
Q06,secular,"In group projects, you naturally take the role of:","The stable presence that doesn't create conflict",B,"The one who ensures quality and accuracy",V,"The one who makes sure everyone feels included and cared for",R,"The connector focused on relationships and communication",P,"The one who drives the project to completion",K
Q07,secular,"Your relationship to deadlines is:","Loose — time is fluid and things get done when they get done",B,"Precise — you plan carefully and hit them exactly",V,"Generous — you prefer having abundant time",R,"Dependent on inspiration — some projects flow, others stall",P,"Urgent — you'd rather finish early than feel behind",K
Q08,secular,"When you make a mistake at work, your typical response is:","Accept it without much drama and move on slowly",B,"Analyze what went wrong and how to prevent recurrence",V,"Feel embarrassed about your status or reputation",R,"Feel it emotionally and seek reassurance from someone",P,"Fix it immediately and redirect your energy forward",K
Q09,secular,"At a party with people you don't know, you tend to:","Find a comfortable spot and let people come to you",B,"Observe carefully before engaging — you assess the room first",V,"Play host even if it's not your party",R,"Connect one-on-one in meaningful warm conversation",P,"Work the room and meet as many people as possible",K
Q10,secular,"In close relationships, your primary need is for:","Space and peace — you need room to just be",B,"Honesty and intellectual respect",V,"Stability, warmth, and material security",R,"Emotional intimacy, connection, and being truly seen",P,"Shared goals and active partnership",K
Q11,secular,"When a close friend is going through something hard, you:","Offer a quiet non-judgmental presence",B,"Help them think through it clearly and practically",V,"Show up with food, resources, and physical support",R,"Listen deeply and feel it with them emotionally",P,"Help them make a plan and take action",K
Q12,secular,"Your communication style in conflict tends to be:","Avoidant — you disengage rather than fight",B,"Direct and precise — you state your position clearly",V,"Somewhat territorial — you defend your position with confidence",R,"Emotionally expressive — feelings are central to the discussion",P,"Action-oriented — let's solve this and move on",K
Q13,secular,"In romantic relationships, you're most drawn to partners who are:","Calm, accepting, and don't demand too much",B,"Intellectually stimulating and honest",V,"Stable, generous, and grounded",R,"Emotionally available, expressive, and magnetic",P,"Ambitious, capable, and active",K
Q14,secular,"Your relationship to money is best described as:","Indifferent — you have what you need and don't think about it much",B,"Managed and logical — you track it carefully",V,"Abundant-minded — you love having and sharing resources",R,"Variable — you spend freely on beautiful or meaningful things",P,"Strategic — money is fuel for your goals",K
Q15,secular,"When you receive an unexpected windfall, you're most likely to:","Let it sit — you'll figure it out eventually",B,"Research the best logical use and invest wisely",V,"Use it to create comfort, beauty, or abundance for loved ones",R,"Spend it on an experience that moves you",P,"Immediately deploy it toward a goal or project",K
Q16,secular,"When making a big life decision, you primarily rely on:","Spacious waiting — you let clarity emerge on its own",B,"Research and logical analysis",V,"Established values and what brings security",R,"Intuition and what feels right emotionally",P,"What moves you toward your goals most effectively",K
Q17,secular,"When given too many choices, you typically:","Stay with the familiar — change feels unnecessary",B,"Research until you identify the objectively correct one",V,"Choose based on what provides the most richness or value",R,"Choose what feels most beautiful or emotionally resonant",P,"Decide quickly and move on — deliberation wastes time",K
Q18,secular,"Your ideal vacation looks like:","A peaceful unstructured retreat — nature, stillness, no agenda",B,"A culturally enriching trip with a thoughtful itinerary",V,"A luxurious gathering with loved ones — good food and comfort",R,"An aesthetically immersive adventure — art, music, and beauty",P,"An active goal-oriented trip — hiking peaks or exploring cities",K
Q19,secular,"Creative projects appeal to you most when they involve:","Open-ended exploration with no fixed outcome",B,"Precision and craft — getting the details exactly right",V,"Creating something rich, abundant, and generous in scale",R,"Deep personal expression and emotional resonance",P,"Building something that functions and accomplishes a goal",K
Q20,secular,"The kind of art or music you're most drawn to tends to be:","Ambient, spacious, or minimalist",B,"Structured and precise — classical, jazz, or architectural",V,"Rich, layered, and lush — folk, orchestral, or impressionist",R,"Emotionally expressive — romantic, lyrical, or intimate",P,"Energetic and driving — with momentum and purpose",K
